,No,match,score,Sequence of shot,receive by,zone (receive by),last receive?,out?,win by
,1,1,1,1,player 2,1,n/a,n/a,n/a
,2,1,1,2,player 1,1,n/a,n/a,n/a
,3,1,1,3,player 2,4,n/a,n/a,n/a
,4,1,1,4,player 1,7,n/a,n/a,n/a
,5,1,1,5,player 2,4,n/a,n/a,n/a
,6,1,1,6,player 1,4,n/a,n/a,n/a
,7,1,1,7,player 2,1,n/a,n/a,n/a
,8,1,1,8,player 1,8,n/a,n/a,n/a
,9,1,1,9,player 2,6,n/a,n/a,n/a
,10,1,1,10,player 1,9,n/a,n/a,n/a
,11,1,1,11,player 2,9,n/a,n/a,n/a
,12,1,1,12,player 1,7,n/a,n/a,n/a
,13,1,1,13,player 2,4,n/a,n/a,n/a
,14,1,1,14,player 1,3,n/a,n/a,n/a
,15,1,1,15,player 2,8,n/a,n/a,n/a
,16,1,1,16,player 1,8,n/a,n/a,n/a
,17,1,1,17,player 2,7,n/a,n/a,n/a
,18,1,1,18,player 1,7,yes,no,player 2
,19,1,2,1,player 1,2,n/a,n/a,n/a
,20,1,2,2,player 2,6,n/a,n/a,n/a
,21,1,2,3,player 1,9,n/a,n/a,n/a
,22,1,2,4,player 2,3,n/a,n/a,n/a
,23,1,2,5,player 1,4,n/a,n/a,n/a
,24,1,2,6,player 2,4,n/a,n/a,n/a
,25,1,2,7,player 1,9,n/a,n/a,n/a
,26,1,2,8,player 2,9,n/a,n/a,n/a
,27,1,2,9,player 1,9,n/a,n/a,n/a
,28,1,2,10,player 2,4,n/a,n/a,n/a
,29,1,2,11,player 1,7,n/a,n/a,n/a
,30,1,2,12,player 2,4,n/a,n/a,n/a
,31,1,2,13,player 1,4,n/a,n/a,n/a
,32,1,2,14,player 2,2,n/a,n/a,n/a
,33,1,2,15,player 1,5,n/a,n/a,n/a
,34,1,2,16,player 2,2,n/a,n/a,n/a
,35,1,2,17,player 1,5,yes,no,player 2
,36,1,3,1,player 1,8,n/a,n/a,n/a
,37,1,3,2,player 2,4,n/a,n/a,n/a
,38,1,3,3,player 1,1,n/a,n/a,n/a
,39,1,3,4,player 2,7,yes,no,player 1
,40,1,4,1,player 2,5,n/a,n/a,n/a
,41,1,4,2,player 1,5,n/a,n/a,n/a
,42,1,4,3,player 2,5,n/a,n/a,n/a
,43,1,4,4,player 1,1,n/a,n/a,n/a
,44,1,4,5,player 2,9,n/a,n/a,n/a
,45,1,4,6,player 1,1,yes,no,player 2
,46,1,5,1,player 1,3,n/a,n/a,n/a
,47,1,5,2,player 2,6,n/a,n/a,n/a
,48,1,5,3,player 1,4,n/a,n/a,n/a
,49,1,5,4,player 2,9,n/a,n/a,n/a
,50,1,5,5,player 1,4,n/a,n/a,n/a
,51,1,5,6,player 2,4,yes,yes,player 2
,52,1,6,1,player 1,2,n/a,n/a,n/a
,53,1,6,2,player 2,4,n/a,n/a,n/a
,54,1,6,3,player 1,6,n/a,n/a,n/a
,55,1,6,4,player 2,3,n/a,n/a,n/a
